Date,Close
2015-09-16,527.7
2015-09-15,524.57
2015-09-14,524.88
2015-09-11,531.31
2015-09-10,530.56
2015-09-09,539.97
2015-09-08,508.32
2015-09-07,518.67
2015-09-04,518.64
2015-09-03,529.68
2015-09-02,526.31
2015-09-01,530.49
2015-08-31,551.62
2015-08-28,555.51
2015-08-27,538.43
2015-08-26,530.65
2015-08-25,513.86
2015-08-24,531.22
2015-08-21,564.23
2015-08-20,582.25
2015-08-19,590.82
2015-08-18,599.24
2015-08-17,599.74
2015-08-14,596.71
2015-08-13,597.81
2015-08-12,596.86
2015-08-11,604.63
2015-08-10,605.96
2015-08-07,601.67
2015-08-06,600.28
2015-08-05,597.85
2015-08-04,596.12
2015-08-03,595.77
2015-07-31,595.47
2015-07-30,591.13
2015-07-29,586.47
2015-07-28,584.68
2015-07-27,586.95
2015-07-24,593.49
2015-07-23,596.47
2015-07-22,593.08
2015-07-21,599.27
2015-07-17,595.07
2015-07-16,594.36
2015-07-15,589.03
2015-07-14,586.06
2015-07-13,576.88
2015-07-10,566.11
2015-07-09,565.43
2015-07-08,566.76
2015-07-07,585.9
2015-07-06,579.65
2015-07-03,590.66
2015-07-02,589.74
2015-07-01,585.56
2015-06-30,582.86
2015-06-29,580.44
2015-06-26,595.3
2015-06-25,596.21
2015-06-24,599.34
2015-06-23,597.97
2015-06-22,588.59
2015-06-19,582.61
2015-06-18,577.37
2015-06-17,583.04
2015-06-16,584.96
2015-06-15,588.91
2015-06-12,588.78
2015-06-11,587.77
2015-06-10,580.36
2015-06-09,582.32
2015-06-08,592.07
2015-06-05,593.77
2015-06-04,595.75
2015-06-03,594.56
2015-06-02,596.07
2015-06-01,596.84
2015-05-29,595.16
2015-05-28,594.46
2015-05-27,590.93
2015-05-26,590.36
2015-05-25,590.3
2015-05-22,586.58
2015-05-21,586.08
2015-05-20,585.19
2015-05-19,581.56
2015-05-18,578.98
2015-05-15,572.61
2015-05-14,567.21
2015-05-13,571.55
2015-05-12,570.86
2015-05-11,569.65
2015-05-08,565.44
2015-05-07,561.33
2015-05-01,564.83
2015-04-30,567.48
2015-04-28,579.58
2015-04-27,576.84
2015-04-24,576.7
2015-04-23,578.66
2015-04-22,577.78
2015-04-21,573.55
2015-04-20,564.73
2015-04-17,567.08
2015-04-16,571.16
2015-04-15,567.88
2015-04-14,568.97
2015-04-13,567.25
2015-04-10,568.08
2015-04-09,569.5
2015-04-08,567.36
2015-04-07,563.6
2015-04-06,557.64
2015-04-03,558.45
2015-04-02,554.8
2015-04-01,546.23
2015-03-31,551.53
2015-03-30,555.89
2015-03-27,553.86
2015-03-26,555.17
2015-03-25,563.21
2015-03-24,561.9
2015-03-23,563.54
2015-03-20,559.51
2015-03-19,557.58
2015-03-18,559.66
2015-03-17,555.73
2015-03-16,551.66
2015-03-13,552.31
2015-03-12,547.65
2015-03-11,540.59
2015-03-10,540.19
2015-03-09,542.5
2015-03-06,545.57
2015-03-05,540.05
2015-03-04,537.82
2015-03-03,541.07
2015-03-02,540.42
2015-02-27,539.66
2015-02-26,538.81
2015-02-25,534.19
2015-02-24,534.07
2015-02-23,532.15
2015-02-20,530.97
2015-02-19,529.04
2015-02-18,525.04
2015-02-17,518.2
2015-02-16,517.14
2015-02-13,513.9
2015-02-12,514.03
2015-02-10,506.8
2015-02-09,505.76
2015-02-06,503.11
2015-02-05,500.74
2015-02-04,503.08
2015-02-03,494.99
2015-02-02,500.78
2015-01-30,503.12
2015-01-29,502.3
2015-01-28,507.69
2015-01-27,506.09
2015-01-26,497.92
2015-01-23,498.09
2015-01-22,493.69
2015-01-21,494.28
2015-01-20,496.63
2015-01-19,487.92
2015-01-16,484.87
2015-01-15,489.55
2015-01-14,482.98
2015-01-13,488.57
2015-01-09,490.51
2015-01-08,489.63
2015-01-07,483.31
2015-01-06,483.61
2015-01-05,497.33
2014-12-30,499.13
2014-12-29,504.8
2014-12-26,505.64
2014-12-25,502.46
2014-12-24,504.12
2014-12-22,499.82
2014-12-19,498.7
2014-12-18,487.54
2014-12-17,478.9
2014-12-16,479.31
2014-12-15,488.28
2014-12-12,495.22
2014-12-11,494.39
2014-12-10,497.54
2014-12-09,507.42
2014-12-08,511.43
2014-12-05,510.74
2014-12-04,508.97
2014-12-03,505.54
2014-12-02,505.07
2014-12-01,502.74
2014-11-28,498.73
2014-11-27,492.66
2014-11-26,497.43
2014-11-25,497.95
2014-11-21,494.82
2014-11-20,493.93
2014-11-19,493.55
2014-11-18,492.94
2014-11-17,482.88
2014-11-14,494.82
2014-11-13,491.44
2014-11-12,487.35
2014-11-11,486.78
2014-11-10,481.52
2014-11-07,482.73
2014-11-06,480.31
2014-11-05,485.39
2014-11-04,483.94
2014-10-31,472.37
2014-10-30,454.07
2014-10-29,451.54
2014-10-28,445.19
2014-10-27,445.96
2014-10-24,441.83
2014-10-23,438.44
2014-10-22,439.91
2014-10-21,429.1
2014-10-20,435.72
2014-10-17,419.18
2014-10-16,425.35
2014-10-15,435.21
2014-10-14,431.73
2014-10-10,441.77
2014-10-09,448.01
2014-10-08,453.17
2014-10-07,458.48
2014-10-06,460.72
2014-10-03,455.79
2014-10-02,454.49
2014-10-01,467.61
2014-09-30,470.8
2014-09-29,474.69
2014-09-26,472.96
2014-09-25,474.51
2014-09-24,467.68
2014-09-22,469.42
2014-09-19,469.85
2014-09-18,465.0
2014-09-17,460.64
2014-09-16,462.4
2014-09-12,463.2
2014-09-11,462.44
2014-09-10,460.87
2014-09-09,458.71
2014-09-08,458.37
2014-09-05,456.43
2014-09-04,457.46
2014-09-03,459.53
2014-09-02,457.91
2014-09-01,453.44
2014-08-29,451.59
2014-08-28,452.33
2014-08-27,454.29
2014-08-26,453.77
2014-08-25,455.97
2014-08-22,454.01
2014-08-21,455.66
2014-08-20,451.84
2014-08-19,451.92
2014-08-18,448.99
2014-08-15,448.63
2014-08-14,448.35
2014-08-13,445.59
2014-08-12,444.24
2014-08-11,442.53
2014-08-08,434.07
2014-08-07,444.37
2014-08-06,441.96
2014-08-05,446.3
2014-08-04,450.76
2014-08-01,452.23
2014-07-31,455.25
2014-07-30,456.14
2014-07-29,455.56
2014-07-28,453.91
2014-07-25,452.09
2014-07-24,448.03
2014-07-23,448.75
2014-07-22,448.93
2014-07-18,445.39
2014-07-17,448.8
2014-07-16,448.95
2014-07-15,449.15
2014-07-14,446.31
2014-07-11,442.68
2014-07-10,444.01
2014-07-09,448.1
2014-07-08,450.05
2014-07-07,451.43
2014-07-04,453.15
2014-07-03,450.92
2014-07-02,451.65
2014-07-01,449.92
2014-06-30,445.27
2014-06-27,441.6
2014-06-26,445.3
2014-06-25,443.98
2014-06-24,446.76
2014-06-23,446.17
2014-06-20,446.43
2014-06-19,446.71
2014-06-18,440.34
2014-06-17,436.6
2014-06-16,435.24
2014-06-13,438.25
2014-06-12,435.81
2014-06-11,436.4
2014-06-10,432.71
2014-06-09,435.09
2014-06-06,434.69
2014-06-05,433.91
2014-06-04,434.37
2014-06-03,432.37
2014-06-02,429.52
2014-05-30,422.89
2014-05-29,422.45
2014-05-28,421.39
2014-05-27,419.95
2014-05-26,419.82
2014-05-23,414.62
2014-05-22,410.69
2014-05-21,404.04
2014-05-20,404.98
2014-05-19,403.52
2014-05-16,407.14
2014-05-15,413.74
2014-05-14,415.27
2014-05-13,413.48
2014-05-12,406.74
2014-05-09,409.81
2014-05-08,408.13
2014-05-07,405.66
2014-05-02,416.1
2014-05-01,415.95
2014-04-30,409.21
2014-04-28,409.1
2014-04-25,412.4
2014-04-24,410.44
2014-04-23,413.43
2014-04-22,409.42
2014-04-21,412.66
2014-04-18,413.2
2014-04-17,410.67
2014-04-16,410.43
2014-04-15,399.91
2014-04-14,398.9
2014-04-11,399.5
2014-04-10,405.08
2014-04-09,405.57
2014-04-08,413.78
2014-04-07,421.3
2014-04-04,427.78
2014-04-03,428.06
2014-04-02,426.3
2014-04-01,423.65
2014-03-31,423.34
2014-03-28,417.81
2014-03-27,414.34
2014-03-26,408.95
2014-03-25,406.29
2014-03-24,406.39
2014-03-20,400.1
2014-03-19,406.81
2014-03-18,407.54
2014-03-17,403.37
2014-03-14,406.97
2014-03-13,420.3
2014-03-12,421.44
